Date,Team,Opponent,Place,Position,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,L10 GP,L10 MIN,L10 FG%,L10 3P%,L10 FT%,L10 REB,L10 AST,L10 BLK,L10 STL,L10 PF,L10 TO,L10 PTS,VsOpp GP,VsOpp MIN,VsOpp FG%,VsOpp 3P%,VsOpp FT%,VsOpp REB,VsOpp AST,VsOpp BLK,VsOpp STL,VsOpp PF,VsOpp TO,VsOpp PTS,Place GP,Place MIN,Place FG%,Place 3P%,Place FT%,Place REB,Place AST,Place BLK,Place STL,Place PF,Place TO,Place PTS,Points O/U line,PRA O/U line,Actual Points,Actual PRA,Points Result,PRA Result
2/23/2023,ORL,DET,Home,PF,Paolo Banchero,20,52,52,33.7,6.5,15.5,41.9,1.2,4.2,28.1,5.3,11.3,46.9,45.7,5.7,7.6,75.3,1.2,5.5,6.6,3.6,0.9,0.5,2.7,2.3,19.9,15,52.7,0.269,0.487,4,18.4,11.2,16.7,1.4,1.4,12.6,27.7,-0.1,1.8,1.7,0.048,-0.7,-0.8,-1.5,0.2,10,33.3,35.4,11.1,70,7.9,3.2,0.5,0.6,1.8,2,16.2,2,33.5,50,0,80,7,3.5,1.5,0.5,5,3,21,25,33.4,42.1,26.9,77.3,7.2,3.8,0.3,0.7,2.3,2.6,20,20.5,31.5,11,23,Under,Under
2/23/2023,ORL,DET,Home,SF,Franz Wagner,21,58,58,33.2,6.9,14.2,48.4,1.7,4.5,36.6,5.2,9.7,53.9,54.2,3.4,4.2,83,0.9,3,3.9,3.5,0.9,0.2,2.1,2.3,18.9,15.9,58.8,0.317,0.292,3.2,10.3,6.8,17.1,1.4,0.6,11.7,23.8,2.3,1.5,3.8,0.095,0.5,-0.8,-0.3,0.9,10,32.9,42.6,32.5,64,3.5,3.7,0.1,1.1,2.7,2.5,12.7,2,31.5,45.5,30,85.7,5,4,0,0.5,1.5,3,19.5,28,33.4,51.1,36.3,87.3,3.9,4.1,0.2,0.8,1.9,1.9,19.9,17.5,25.5,21,27,Over,Over
2/23/2023,ORL,DET,Home,C,Wendell Carter Jr.,23,39,36,30.1,5.7,10.7,53.2,1.3,3.5,37,4.4,7.2,61.3,59.4,2.7,3.6,75.2,2,6.5,8.5,2.6,0.4,0.6,2.2,2.9,15.4,16.9,62.7,0.331,0.338,7.5,24.6,16.1,13.7,0.6,1.8,15.2,20.9,1.7,1.2,2.9,0.119,0.6,0,0.6,0.8,9,28.9,55.3,37.1,64.7,7.8,2.4,0.1,0.2,2.8,1.9,15.4,2,28.5,55.6,40,55.6,9.5,2,0.5,0.5,3,2,13.5,19,29.4,53.7,40.7,76.8,7.8,2.7,0.6,0.4,2.8,2.5,14.8,15.5,26.5,14,30,Under,Over
2/23/2023,ORL,DET,Home,PG,Markelle Fultz,24,38,38,29.2,5.4,10.8,50.1,0.4,1.3,30,5,9.4,52.9,52,1.8,2.4,76.7,1.3,2.8,4,5.5,1.5,0.4,2.3,2.1,13,16.1,55.1,0.122,0.22,5,10.8,7.9,29.2,2.5,1.3,16.6,21,0.8,1.2,2,0.087,-0.5,0.7,0.2,0.6,10,32.1,50,16.7,89.3,4.3,5,0.3,1.5,2.4,2.1,15.1,1,28,16.7,0,100,7,9,0,1,3,1,6,18,27.6,47.5,30.8,75.6,3.9,5,0.4,1.4,2.3,2.3,11.5,14.5,24.5,14,24,Under,Under
2/23/2023,MEM,PHI,Road,PG,Ja Morant,23,48,48,32.8,9.7,20.8,46.6,1.7,5.3,32,8,15.5,51.6,50.7,6.2,8.5,73.6,1.2,4.8,6,8.3,1,0.3,3.5,1.8,27.3,23.7,55.7,0.253,0.406,3.7,15.3,9.5,41.9,1.5,0.7,12.4,35,3.1,2.1,5.2,0.16,5.6,0.5,6.2,3.2,9,35.1,47.6,32.7,68.7,7.8,10,0.3,1.3,2.1,3.6,27.8,1,36,35.7,25,75,8,3,0,0,3,1,28,24,32.9,47.9,30.8,75.1,5.2,8.1,0.3,0.8,1.7,3.8,26.7,25.5,40.5,15,23,Under,Under
2/23/2023,MEM,PHI,Road,SG,Desmond Bane,24,35,35,31.2,7.5,16.1,46.5,3,7.1,42.7,4.5,9.1,49.5,55.9,3.4,3.8,90.2,0.7,4.2,4.9,4.2,1,0.4,2.2,2.5,21.5,19.2,60.3,0.439,0.235,2.2,14.2,8.2,20.2,1.5,1.1,11,26.3,2.1,1.5,3.6,0.159,3.5,0.3,3.9,1.6,8,32.1,48.8,42.6,88.9,4,4.1,0.8,1.6,2.6,2.3,20.9,,,,,,,,,,,,,17,31.4,45.3,41.9,89.9,5.8,4.1,0.4,0.8,2.6,2.1,21.3,20.5,28.5,25,35,Over,Over
2/23/2023,MEM,PHI,Road,SF,Dillon Brooks,27,52,52,30.5,5.6,14.3,39.1,1.8,5.8,31.2,3.8,8.5,44.4,45.4,1.8,2.3,78.8,0.6,2.7,3.3,2.6,0.8,0.2,1.5,3.4,14.8,9,48.3,0.406,0.159,2.1,9.2,5.6,11.8,1.3,0.6,9.1,22.6,-0.8,1.7,0.9,0.028,-3.9,-0.6,-4.5,-1,9,30.7,34.1,23.9,83.3,2.2,2,0.2,1,3.6,1.1,9.2,1,36,43.8,33.3,100,4,4,0,1,1,2,17,25,31.2,39.7,34.4,78.9,3.6,2.6,0.1,1,3.4,1.4,16.5,11.5,16.5,11,18,Under,Over
2/23/2023,MEM,PHI,Road,C,Jaren Jackson Jr.,23,40,40,27.2,6.1,12.1,50.2,1.6,4.4,35.6,4.5,7.7,58.4,56.6,3.3,4.2,77.5,1.7,5,6.7,0.9,1.1,3.3,1.6,3.4,16.9,21.8,60.8,0.361,0.351,6.7,19.1,12.9,4.7,1.9,10.8,10.2,23.3,1.7,2.5,4.2,0.186,0.9,2.9,3.7,1.6,9,30.1,50,29.8,76.3,6.8,0.7,3.3,1.3,4.1,1.6,19.4,1,26,58.3,40,85.7,9,0,4,1,5,3,22,18,26.4,48.3,36.6,80,6.4,0.9,2.1,0.7,3.4,1.8,15.7,15.5,23.5,18,28,Over,Over
2/23/2023,PHI,MEM,Home,SG,James Harden,33,41,41,36.4,6.5,14.5,45.1,2.8,7.2,38.9,3.7,7.3,51.3,54.8,5.5,6.4,86.3,0.5,5.6,6.2,10.8,1.2,0.6,3.4,2,21.4,22.5,61.9,0.498,0.443,1.7,18,9.9,45.1,1.6,1.5,16.4,25.3,4.4,1.9,6.3,0.204,5.3,0.6,5.9,3,10,35.3,46,40,84.8,5.6,10,0.6,0.9,1.5,2.7,21,23,37,44.9,39.9,81.9,6.4,11.2,0.6,1.3,2.1,3.4,21.7,23,37,44.9,39.9,81.9,6.4,11.2,0.6,1.3,2.1,3.4,21.7,21.5,38.5,31,45,Over,Over
2/23/2023,PHI,MEM,Home,C,Joel Embiid,28,45,45,34.9,11,20.5,53.7,1.1,3.1,35.5,9.9,17.4,57,56.4,9.9,11.6,85.8,1.8,8.4,10.2,4.1,1.2,1.5,3.5,3.2,33.1,30.6,64.6,0.153,0.564,6,27.9,17.1,22.3,1.6,4,12.1,37.2,5.3,2.8,8.1,0.246,6.3,2.1,8.4,4.1,10,35.4,55.7,39.3,84.7,11.5,3.8,1,1.5,2.6,3.3,32.1,1,41,50,33.3,88.9,11,8,3,1,4,3,35,26,35.3,53.9,35.8,88.8,10.5,4.4,1.7,1.2,3.1,3.5,34,32.5,47.5,27,52,Under,Over
